cust_id,lookalikes
C0001,"[{'cust_id': 'C0107', 'score': 0.9941}, {'cust_id': 'C0190', 'score': 0.9891}, {'cust_id': 'C0048', 'score': 0.9803}]"
C0002,"[{'cust_id': 'C0128', 'score': 0.9466}, {'cust_id': 'C0178', 'score': 0.916}, {'cust_id': 'C0159', 'score': 0.9069}]"
C0003,"[{'cust_id': 'C0133', 'score': 0.9973}, {'cust_id': 'C0052', 'score': 0.9942}, {'cust_id': 'C0152', 'score': 0.9743}]"
C0004,"[{'cust_id': 'C0165', 'score': 0.9714}, {'cust_id': 'C0169', 'score': 0.9178}, {'cust_id': 'C0126', 'score': 0.9173}]"
C0005,"[{'cust_id': 'C0186', 'score': 0.9865}, {'cust_id': 'C0146', 'score': 0.974}, {'cust_id': 'C0007', 'score': 0.9418}]"
C0006,"[{'cust_id': 'C0171', 'score': 0.9658}, {'cust_id': 'C0187', 'score': 0.96}, {'cust_id': 'C0011', 'score': 0.8448}]"
C0007,"[{'cust_id': 'C0140', 'score': 0.9781}, {'cust_id': 'C0115', 'score': 0.9534}, {'cust_id': 'C0005', 'score': 0.9418}]"
C0008,"[{'cust_id': 'C0024', 'score': 0.9303}, {'cust_id': 'C0194', 'score': 0.9289}, {'cust_id': 'C0122', 'score': 0.8614}]"
C0009,"[{'cust_id': 'C0010', 'score': 0.9792}, {'cust_id': 'C0062', 'score': 0.9571}, {'cust_id': 'C0111', 'score': 0.9535}]"
C0010,"[{'cust_id': 'C0111', 'score': 0.9881}, {'cust_id': 'C0103', 'score': 0.9797}, {'cust_id': 'C0009', 'score': 0.9792}]"
C0011,"[{'cust_id': 'C0137', 'score': 0.9806}, {'cust_id': 'C0169', 'score': 0.956}, {'cust_id': 'C0126', 'score': 0.9544}]"
C0012,"[{'cust_id': 'C0104', 'score': 0.9699}, {'cust_id': 'C0113', 'score': 0.9631}, {'cust_id': 'C0195', 'score': 0.955}]"
C0013,"[{'cust_id': 'C0099', 'score': 0.9887}, {'cust_id': 'C0108', 'score': 0.9597}, {'cust_id': 'C0143', 'score': 0.7597}]"
C0014,"[{'cust_id': 'C0060', 'score': 0.9799}, {'cust_id': 'C0119', 'score': 0.8756}, {'cust_id': 'C0166', 'score': 0.8562}]"
C0015,"[{'cust_id': 'C0131', 'score': 0.9785}, {'cust_id': 'C0094', 'score': 0.8772}, {'cust_id': 'C0125', 'score': 0.8633}]"
C0016,"[{'cust_id': 'C0183', 'score': 1.0}, {'cust_id': 'C0026', 'score': 0.9715}, {'cust_id': 'C0072', 'score': 0.9484}]"
C0017,"[{'cust_id': 'C0057', 'score': 0.906}, {'cust_id': 'C0041', 'score': 0.8594}, {'cust_id': 'C0064', 'score': 0.7819}]"
C0018,"[{'cust_id': 'C0125', 'score': 0.8452}, {'cust_id': 'C0079', 'score': 0.6936}, {'cust_id': 'C0117', 'score': 0.6778}]"
C0019,"[{'cust_id': 'C0121', 'score': 0.927}, {'cust_id': 'C0132', 'score': 0.7804}, {'cust_id': 'C0017', 'score': 0.7422}]"
C0020,"[{'cust_id': 'C0050', 'score': 0.9087}, {'cust_id': 'C0026', 'score': 0.8443}, {'cust_id': 'C0035', 'score': 0.842}]"
